ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe,Preco_Final,annual_expenditure,concelho_limpo,income,energy_expenditure_ratio,energy_poverty
2022,Lisboa,Mafra,190864374.712,49817,3831.310089166349,0.22104739916945426,846.9011306219113,mafra,23806.459817046874,3.5574425476545595,0
2022,Lisboa,Odivelas,229327071.45,81412,2816.870626566108,0.22104739916945426,622.6619257992692,odivelas,20907.690471669535,2.9781478095009692,0
2022,Lisboa,Oeiras,360217298.556,102575,3511.745537957592,0.22104739916945426,776.2622177104618,oeiras,30531.703071088963,2.5424792580454474,0
2022,Lisboa,Sintra,654401609.424,214217,3054.853767086646,0.22104739916945426,675.2674800575129,sintra,20160.679892549277,3.34942811282406,0
2022,Lisboa,Sobral de Monte Agraço,20986612.0,5858,3582.5558210993513,0.22104739916945426,791.9146466334003,sobral de monte agraco,19855.223056632876,3.9884449767934065,0
2022,Lisboa,Torres Vedras,174241377.612,51418,3388.723357812439,0.22104739916945426,749.0684847492196,torres vedras,19435.118761415088,3.8542007072082294,0
2022,Lisboa,Vila Franca de Xira,222765037.428,77547,2872.6454592440714,0.22104739916945426,634.9908075018445,vila franca de xira,21371.834603893345,2.9711572229094787,0
2022,Portalegre,Alter do Chão,8127814.0,2863,2838.9151239958087,0.22104739916945426,627.5348046221022,alter do chao,17027.279601952338,3.685467199059499,0
2022,Portalegre,Arronches,9771616.0,2287,4272.678618277219,0.22104739916945426,944.4644960571168,arronches,16615.640653086833,5.684189468082022,1
2022,Portalegre,Avis,12462254.0,3104,4014.901417525773,0.22104739916945426,887.4835162658273,avis,16154.851760719732,5.49360358987465,1
2022,Portalegre,Campo Maior,22336204.0,5274,4235.154342055366,0.22104739916945426,936.16985239256,campo maior,20721.010134466367,4.51797400955554,0
2022,Portalegre,Castelo de Vide,9014670.0,2933,3073.5322195704057,0.22104739916945426,679.3963033995582,castelo de vide,18210.632502493616,3.730767194969901,0
2022,Portalegre,Crato,9098893.0,3141,2896.8140719516077,0.22104739916945426,640.3332164823793,crato,16555.31244450911,3.867841326635658,0
2022,Portalegre,Elvas,52178627.0,13239,3941.2815922652767,0.22104739916945426,871.2100453646849,elvas,18187.962982932728,4.790036389353846,0
2022,Portalegre,Fronteira,8714461.0,2522,3455.3770816812053,0.22104739916945426,763.8021170553693,fronteira,17416.909217443306,4.3854056280571845,0
2022,Portalegre,Gavião,8399155.0,3507,2394.968634160251,0.22104739916945426,529.4015876735436,gaviao,16310.578388465507,3.2457560674115955,0
2022,Portalegre,Marvão,8949734.0,2812,3182.693456614509,0.22104739916945426,703.5261109382776,marvao,15487.394309582864,4.542572474589667,0
2022,Portalegre,Monforte,8178360.0,2207,3705.6456728590847,0.22104739916945426,819.123338229043,monforte,15965.252475669822,5.130663229268329,1
2022,Portalegre,Nisa,14979548.0,6826,2194.4840316437153,0.22104739916945426,485.0849877137416,nisa,17058.798264472283,2.843605863632316,0
2022,Portalegre,Ponte de Sor,35790642.482,10839,3302.024400959498,0.22104739916945426,729.9039058261723,ponte de sor,15924.052167367101,4.583656836555412,0
2022,Portalegre,Portalegre,49286650.198,15583,3162.847346338959,0.22104739916945426,699.1391798782371,portalegre,20568.894015419883,3.3990120195772966,0
2022,Portalegre,Sousel,14136892.0,3528,4007.055555555556,0.22104739916945426,885.7492088830683,sousel,15553.691901955845,5.6947843281612585,1
2022,Porto,Amarante,97134470.52,31504,3083.2424619095987,0.22104739916945426,681.5427272139419,amarante,15549.43062253936,4.383071919212435,0
2022,Porto,Baião,31222969.0,11876,2629.0812563152576,0.22104739916945426,581.151573913649,baiao,14374.766405969323,4.042859254201986,0
2022,Porto,Felgueiras,110729003.0,27681,4000.180737690112,0.22104739916945426,884.2295482741482,felgueiras,15315.727718972787,5.773343353308535,1
2022,Porto,Gondomar,287315603.882,82942,3464.0544462636544,0.22104739916945426,765.7202259279649,gondomar,18631.873543721707,4.1097328410431695,0
2022,Porto,Lousada,87297633.58,22256,3922.43141534867,0.22104739916945426,867.0432627833849,lousada,14975.906355193309,5.7895879035242075,1
2022,Porto,Maia,292274177.738,70393,4152.034687227423,0.22104739916945426,917.7964688729803,maia,23298.469397492416,3.939299415830988,0
2022,Porto,Marco de Canaveses,100615056.714,26602,3782.236550409744,0.22104739916945426,836.0535525117224,marco de canaveses,14607.684280320895,5.723381861682435,1
2022,Porto,Matosinhos,379733190.75,96434,3937.752149138271,0.22104739916945426,870.4298711409438,matosinhos,23012.009731297694,3.782502620608176,0
2022,Porto,Paredes,132824487.0,32503,4086.530074147002,0.22104739916945426,903.3168445179518,paredes,15374.239094170765,5.8755222875416955,1
2022,Porto,Paços de Ferreira,115143180.25,25754,4470.885309078201,0.22104739916945426,988.277569556658,pacos de ferreira,15135.459066485606,6.529551335149112,1
2022,Porto,Penafiel,136994989.258,35142,3898.3264827841326,0.22104739916945426,861.7149301328388,penafiel,16070.73029739404,5.362014757179832,1
