,ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe
32,2022,Beja,Vidigueira,13374413.0,3959,3378.230108613286
33,2022,Braga,Amares,34133506.652,11230,3039.4930233303653
34,2022,Braga,Barcelos,240503105.032,55933,4299.8427588722225
35,2022,Braga,Braga,393901343.36800003,105137,3746.55300577342
36,2022,Braga,Cabeceiras de Basto,29726309.0,10582,2809.1390096390096
37,2022,Braga,Celorico de Basto,30106850.02,10990,2739.4767989080983
38,2022,Braga,Esposende,81903777.0,25725,3183.8202915451893
39,2022,Braga,Fafe,93202443.212,28740,3242.952095059151
40,2022,Braga,Guimarães,303275660.218,77841,3896.091522693696
41,2022,Braga,Póvoa de Lanhoso,39970054.0,13580,2943.3029455081
42,2022,Braga,Terras de Bouro,14990234.0,5219,2872.242575205978
43,2022,Braga,Vieira do Minho,22520406.0,8529,2640.450932113964
44,2022,Braga,Vila Nova de Famalicão,220578195.0,55333,3986.3769360056385
45,2022,Braga,Vila Verde,90271855.0,26968,3347.36928952833
46,2022,Braga,Vizela,43262855.0,11065,3909.8829643018526
47,2022,Bragança,Alfândega da Fé,10164542.0,4149,2449.877560858038
48,2022,Bragança,Bragança,86386291.02,29780,2900.8156823371387
49,2022,Bragança,Carrazeda de Ansiães,13457249.0,5562,2419.498202085581
50,2022,Bragança,Freixo de Espada À Cinta,8526272.0,3522,2420.8608745031233
51,2022,Bragança,Macedo de Cavaleiros,32690480.0,12505,2614.1927229108355
52,2022,Bragança,Miranda do douro,19099003.0,6516,2931.0931553100063
53,2022,Bragança,Mirandela,52094564.542,17215,3026.114698925356
54,2022,Bragança,Mogadouro,21750407.0,8255,2634.8161114476075
55,2022,Bragança,Torre de Moncorvo,16306717.0,7204,2263.5642698500833
56,2022,Bragança,Vila Flor,14805055.0,5673,2609.7399964745287
57,2022,Bragança,Vimioso,9857557.0,4939,1995.860903016805
58,2022,Bragança,Vinhais,16537075.0,7934,2084.330098311066
59,2022,Castelo Branco,Belmonte,13790810.0,5108,2699.84534064213
60,2022,Castelo Branco,Castelo Branco,128860199.0,43491,2962.9164424823525
61,2022,Castelo Branco,Covilhã,111411780.0,35749,3116.500601415424
62,2022,Castelo Branco,Fundão,64560035.0,24008,2689.10508997001
63,2022,Castelo Branco,Idanha-a-Nova,25412524.0,10717,2371.234860502006
64,2022,Castelo Branco,Oleiros,10524757.0,5629,1869.7383194173033
65,2022,Castelo Branco,Penamacor,11692964.0,6381,1832.465757718226
66,2022,Castelo Branco,Proença-a-Nova,17296865.0,7391,2340.2604519009606
67,2022,Castelo Branco,Sertã,33547120.0,13634,2460.5486284289277
68,2022,Castelo Branco,Vila Velha de Ródão,8763131.0,3521,2488.818801476853
69,2022,Castelo Branco,Vila de Rei,7771256.0,3296,2357.7839805825242
70,2022,Coimbra,Arganil,26086454.0,11059,2358.843837598336
71,2022,Coimbra,Cantanhede,70447660.754,24063,2927.634158417487
72,2022,Coimbra,Coimbra,326257538.01199996,93778,3479.0413317835737
73,2022,Coimbra,Condeixa-a-Nova,26714637.0,9255,2886.5085899513774
74,2022,Coimbra,Figueira da Foz,125253217.612,49508,2529.959150278743
75,2022,Coimbra,Góis,10057421.0,4971,2023.218869442768
76,2022,Coimbra,Lousã,33401597.0,11565,2888.1623000432337
77,2022,Coimbra,Mira,28484067.0,9881,2882.7109604291063
78,2022,Coimbra,Miranda do Corvo,21781893.0,7725,2819.6625242718446
79,2022,Coimbra,Montemor-o-Velho,47712174.0,14171,3366.8882929927317
80,2022,Coimbra,Oliveira do Hospital,40019729.0,14651,2731.5356630946694
81,2022,Coimbra,Pampilhosa da Serra,9464554.0,5321,1778.7171584288667
82,2022,Coimbra,Penacova,23186922.0,8710,2662.10355912744
83,2022,Coimbra,Penela,11316685.0,4032,2806.7175099206347
84,2022,Coimbra,Soure,33450826.0,11733,2851.0036648768432
85,2022,Coimbra,Tábua,23771731.0,9279,2561.88500916047
86,2022,Coimbra,Vila Nova de Poiares,13963444.0,4918,2839.252541683611
87,2022,Faro,Albufeira,237360903.736,53187,4462.761647319834
88,2022,Faro,Alcoutim,7369409.0,3695,1994.4273342354534
89,2022,Faro,Aljezur,22361754.0,6452,3465.86391816491
90,2022,Faro,Castro Marim,25788745.516,9246,2789.17861951114
91,2022,Faro,Faro,183518474.024,45463,4036.655610584431
92,2022,Faro,Lagoa,105869957.464,24110,4391.122250684363
93,2022,Faro,Lagos,129512013.0,34268,3779.386395470993
94,2022,Faro,Loulé,369372488.37,76710,4815.180398513883
95,2022,Faro,Monchique,13941877.466,4540,3070.898120264317
96,2022,Faro,Olhão,96096591.546,30132,3189.187294105934
97,2022,Faro,Portimão,180989048.0,56248,3217.697482577158
98,2022,Faro,Silves,131509339.098,36129,3639.993885742755
99,2022,Faro,São Brás de Alportel,29454969.400000002,7819,3767.101854457092
100,2022,Faro,Tavira,92071276.64,29351,3136.9042499403768
101,2022,Faro,Vila Real de Santo António,61181971.25,23861,2564.099210007963
102,2022,Faro,Vila do Bispo,28844815.0,6786,4250.635867963454
103,2022,Guarda,Aguiar da Beira,12888223.0,4892,2634.550899427637
104,2022,Guarda,Almeida,15562415.0,6955,2237.586628324946
105,2022,Guarda,Celorico da Beira,13820633.0,6239,2215.2000320564193
